19:33:59.527  CMBT   | Killed Py6Jl	 Ship_Race3_M_T2_Pirate|0000000248;	 killer Feresey|0000000204 Weapon_Plasmagun_Heavy_T5_Pirate 
21:24:26.980  CMBT   | Killed Ship_Bot_ClanShipDroneBig_Empire|0000047647;	 killer ClanShip_SideTurret_t5|0000000737 ClanShip_SideTurret_t5 
21:24:32.928  CMBT   | Killed ClanShip_Torpedo|0000064719;	 killer TENEVOY|0000001750 Module_Disintegrator_T4_Base 
21:24:33.039  CMBT   | Killed ClanShip_Torpedo|0000064721;	 killer Sumelru|0000003049 Module_Disintegrator_T4_Base 
21:24:33.538  CMBT   | Killed ClanShip_Stuff_Emp_ElementD|0000000586;	 killer Sumelru|0000003049 SpaceMissile_Torpedo_T4_Mk3 
21:24:33.538  CMBT   | Killed ClanShip_Stuff_Emp_ElementA|0000000549;	 killer Sumelru|0000003049 SpaceMissile_Torpedo_T4_Mk3 
21:24:33.538  CMBT   | Killed ClanShip_Stuff_Emp_ElementA|0000000551;	 killer Sumelru|0000003049 SpaceMissile_Torpedo_T4_Mk3 
21:24:35.740  CMBT   | Killed Ship_Bot_ClanShipDroneBig_Empire|0000046874;	 killer ClanShip_MainTurret_Empire|0000000275 ClanShip_MainTurret_Empire 
21:24:36.192  CMBT   | Killed ClanShip_Torpedo|0000064717;	 killer TENEVOY|0000001750 Module_Disintegrator_T4_Base 
21:24:36.345  CMBT   | Killed ClanShip_Torpedo|0000064723;	 killer Sumelru|0000003049 Module_Disintegrator_T4_Base 
21:24:39.936  CMBT   | Killed ClanShip_Stuff_Emp_ElementI|0000000636;	 killer Sumelru|0000003049 Module_Disintegrator_T4_Base 
21:24:49.476  CMBT   | Killed Expendable_BattleDroneLarge_T5_Mk3(Rule34)|0000005597;	 killer FireWarrior|0000002283 Module_BFG_T5_Epic 
21:24:49.656  CMBT   | Killed Ship_Bot_ClanShipDroneBig_Empire|0000047456;	 killer Sumelru|0000003049 Module_Disintegrator_T4_Base 
21:24:53.028  CMBT   | Killed ClanShip_Stuff_Emp_ElementI|0000000500;	 killer TENEVOY|0000001750 Module_Disintegrator_T4_Base 
21:24:56.391  CMBT   | Killed ClanShip_Stuff_Emp_ElementI|0000000499;	 killer TENEVOY|0000001750 Module_Disintegrator_T4_Base 
21:25:01.785  CMBT   | Killed Rentd	 Ship_Race1_M_T5_Dlc|0000003152;	 killer Py6Jl|0000001985 Weapon_ThorHammer_T5_Epic 
21:25:17.278  CMBT   | Killed npoctoMyzhuk	 Ship_Race5_M_ATTACK_Rank15|0000066543;	 killer Gladiator|0000002075 (crash) 
21:25:22.481  CMBT   | Killed SwarmPack3(FireWarrior)|0000002355;	 killer FireWarrior|0000002355 (suicide) <FriendlyFire>
21:25:22.488  CMBT   | Killed FireWarrior	 Ship_Race5_H_OVERSEER_Rank15_13|0000002283;	 killer Feresey|0000001632 Weapon_Plasmagun_Heavy_T5_Pirate 
21:25:26.592  CMBT   | Killed Ayaka	 Ship_Race2_M_T5_CraftUniq|0000001664;	 killer Feresey|0000001632 Weapon_Plasmagun_Heavy_T5_Pirate 
21:25:26.636  CMBT   | Killed MaxVerzila	 Ship_Race1_L_T5_CraftSpec|0000002903;	 killer Nafalar|0000002808 Weapon_SuppressingFire_T5_Rel 
21:25:28.772  CMBT   | Killed Feresey	 Ship_Race5_M_ATTACK_Rank15|0000001632;	 killer Rentd|0000081743 SpaceMissile_ChainRockets_T5_Mk3 
21:25:31.351  CMBT   | Killed ClanShip_FlakGun|0000000521;	 killer TENEVOY|0000001750 SpaceMissile_Torpedo_T4_Mk3 
21:25:32.926  CMBT   | Killed ClanShip_Stuff_Emp_ElementJ|0000000644;	 killer Sumelru|0000003049 SpaceMissile_Torpedo_T4_Mk3 
21:25:34.945  CMBT   | Killed ClanShip_Stuff_Emp_ElementC|0000000415;	 killer TENEVOY|0000001750 Module_Disintegrator_T4_Base 
21:25:35.907  CMBT   | Killed ClanShip_Stuff_Emp_SGen|0000000411;	 killer TENEVOY|0000001750 SpaceMissile_Torpedo_T4_Mk3 
21:25:35.907  CMBT   | Killed ClanShip_Stuff_Emp_Radar|0000000511;	 killer TENEVOY|0000001750 SpaceMissile_Torpedo_T4_Mk3 
21:25:35.907  CMBT   | Killed ClanShip_Stuff_Emp_SGen|0000000412;	 killer TENEVOY|0000001750 SpaceMissile_Torpedo_T4_Mk3 
21:25:38.148  CMBT   | Killed ClanShip_Torpedo|0000087638;	 killer TENEVOY|0000001750 Module_Disintegrator_T4_Base 
21:25:38.374  CMBT   | Killed ClanShip_Torpedo|0000087640;	 killer Sumelru|0000003049 Module_Disintegrator_T4_Base 
21:25:41.450  CMBT   | Killed ClanShip_Torpedo|0000087636;	 killer TENEVOY|0000001750 Module_Disintegrator_T4_Base 
21:25:41.515  CMBT   | Killed ClanShip_Torpedo|0000087642;	 killer Sumelru|0000003049 Module_Disintegrator_T4_Base 
21:25:44.144  CMBT   | Killed YanFei	 Ship_Race2_M_T2_Steam|0000002664;	 killer Py6Jl|0000001985 Weapon_ThorHammer_T5_Epic 
21:25:45.384  CMBT   | Killed ClanShip_Stuff_Emp_ElementI|0000000498;	 killer TENEVOY|0000001750 Module_Disintegrator_T4_Base 
21:25:49.170  CMBT   | Killed Rentd	 Ship_Race1_M_T5_Dlc|0000081743;	 killer Py6Jl|0000001985 Weapon_ThorHammer_T5_Epic 
21:26:04.813  CMBT   | Killed ClanShip_SideRocketTurret_t5|0000000779;	 killer Gladiator|0000002075 Weapon_PlasmaBursts_T5_Rel 
21:26:05.667  CMBT   | Killed npoctoMyzhuk	 Ship_Race5_M_ATTACK_Rank15|0000092629;	 killer Py6Jl|0000001985 Weapon_ThorHammer_T5_Epic 
21:26:13.079  CMBT   | Killed ClanShip_Stuff_Emp_ElementD|0000000467;	 killer TENEVOY|0000001750 Module_Disintegrator_T4_Base 
21:26:21.764  CMBT   | Killed ClanShip_Stuff_Emp_ElementD|0000000461;	 killer TENEVOY|0000001750 Module_Disintegrator_T4_Base 
21:26:28.843  CMBT   | Killed Ship_Bot_ClanShipDroneBig_Empire|0000101047;	 killer ClanShip_MainTurret_Empire|0000000271 ClanShip_MainTurret_Empire 
21:26:33.067  CMBT   | Killed Ship_Bot_ClanShipDroneBig_Empire|0000101236;	 killer TENEVOY|0000001750 SpaceMissile_Torpedo_T4_Mk3 
21:26:33.067  CMBT   | Killed Ship_Bot_ClanShipDroneBig_Empire|0000101186;	 killer TENEVOY|0000001750 SpaceMissile_Torpedo_T4_Mk3 
21:26:33.067  CMBT   | Killed Ship_Bot_ClanShipDroneBig_Empire|0000101715;	 killer TENEVOY|0000001750 SpaceMissile_Torpedo_T4_Mk3 
21:26:34.910  CMBT   | Killed Ship_Bot_ClanShipDroneBig_Empire|0000046950;	 killer Rentd|0000102139 Weapon_ThorHammer_T5_Epic 
21:26:35.877  CMBT   | Killed Ship_Bot_ClanShipDroneBig_Empire|0000101154;	 killer TENEVOY|0000001750 Module_Disintegrator_T4_Base 
21:26:42.986  CMBT   | Killed ClanShip_Stuff_Emp_ElementI|0000000497;	 killer TENEVOY|0000001750 ClanShip_MainTurret_Empire 
21:26:43.617  CMBT   | Killed ClanShip_Torpedo|0000109590;	 killer Sumelru|0000003049 Module_Disintegrator_T4_Base 
21:26:43.664  CMBT   | Killed ClanShip_Torpedo|0000109582;	 killer TENEVOY|0000001750 Module_Disintegrator_T4_Base 
21:26:45.458  CMBT   | Killed Ship_Bot_ClanShipDroneBig_Empire|0000101093;	 killer ClanShip_SideTurret_t5|0000000717 ClanShip_SideTurret_t5 
21:26:45.976  CMBT   | Killed Ship_Bot_ClanShipDroneBig_Empire|0000101073;	 killer ClanShip_MainTurret_Empire|0000000275 ClanShip_MainTurret_Empire 
21:26:46.802  CMBT   | Killed ClanShip_Torpedo|0000109592;	 killer Sumelru|0000003049 Module_Disintegrator_T4_Base 
21:26:46.873  CMBT   | Killed ClanShip_Torpedo|0000109584;	 killer TENEVOY|0000001750 Module_Disintegrator_T4_Base 
21:26:50.580  CMBT   | Killed ClanShip_Stuff_Emp_ElementD|0000000464;	 killer TENEVOY|0000001750 Module_Disintegrator_T4_Base 
21:26:57.659  CMBT   | Killed YanFei	 Ship_Race2_M_T2_Steam|0000096271;	 killer Gladiator|0000002075 Weapon_PlasmaBursts_T5_Rel 
21:27:02.072  CMBT   | Killed Ship_Bot_ClanShipDroneBig_Empire|0000101677;	 killer ClanShip_SideTurret_t5|0000000717 ClanShip_SideTurret_t5 
21:27:02.136  CMBT   | Killed ClanShip_SideTurret_t5|0000000737;	 killer Ship_Bot_ClanShipDroneBig_Empire|-000000001 SmallShipExplodeBlastWavePVE 
21:27:02.518  CMBT   | Killed Ship_Bot_ClanShipDroneBig_Empire|0000034141;	 killer FireWarrior|0000103806 Weapon_PlasmaBursts_T5_Rel 
21:27:03.866  CMBT   | Killed Ship_Bot_ClanShipDroneBig_Empire|0000101634;	 killer FireWarrior|0000103806 ClanShip_MainTurret_Empire 
21:27:07.421  CMBT   | Killed Rentd	 Ship_Race1_M_T5_Dlc|0000102139;	 killer PomogitePsixy|0000001853 Weapon_Hammer_T5_Epic 
21:27:08.538  CMBT   | Killed ClanShip_Stuff_Emp_ElementD|0000000473;	 killer TENEVOY|0000001750 Module_Disintegrator_T4_Base 
21:27:15.768  CMBT   | Killed Ship_Bot_ClanShipDroneBig_Empire|0000101007;	 killer FireWarrior|0000103806 Module_Javelin_T5_Epic 
21:27:28.793  CMBT   | Killed xSterben	 Ship_Race2_M_T5_CraftSpec|0000006508;	 killer Gladiator|0000002075 Weapon_PlasmaBursts_T5_Rel 
21:27:31.927  CMBT   | Killed npoctoMyzhuk	 Ship_Race5_M_ATTACK_Rank15|0000115988;	 killer Py6Jl|0000001985 Weapon_ThorHammer_T5_Epic 
21:27:34.122  CMBT   | Killed ClanShip_Stuff_Emp_ElementD|0000000431;	 killer TENEVOY|0000001750 Module_Disintegrator_T4_Base 
21:27:54.829  CMBT   | Killed ClanShip_Torpedo|0000137759;	 killer TENEVOY|0000001750 Module_Disintegrator_T4_Base 
21:27:55.288  CMBT   | Killed Ayaka	 Ship_Race2_M_T5_CraftUniq|0000090922;	 killer Py6Jl|0000001985 Weapon_ThorHammer_T5_Epic 
21:27:58.045  CMBT   | Killed ClanShip_Stuff_Emp_ElementD|0000000458;	 killer TENEVOY|0000001750 SpaceMissile_Torpedo_T4_Mk3 
21:27:58.157  CMBT   | Killed ClanShip_Torpedo|0000137757;	 killer TENEVOY|0000001750 Module_Disintegrator_T4_Base 
21:28:02.081  CMBT   | Killed ClanShip_Stuff_Emp_ElementD|0000000455;	 killer TENEVOY|0000001750 SpaceMissile_Torpedo_T4_Mk3 
21:28:05.006  CMBT   | Killed YanFei	 Ship_Race5_M_ATTACK_Rank15|0000132101;	 killer Py6Jl|0000001985 Weapon_ThorHammer_T5_Epic 
21:28:23.328  CMBT   | Killed SwarmPack3(FireWarrior)|0000103929;	 killer FireWarrior|0000103929 (suicide) <FriendlyFire>
21:28:23.333  CMBT   | Killed FireWarrior	 Ship_Race5_H_OVERSEER_Rank15_13|0000103806;	 killer Nafalar|0000002808 Weapon_SuppressingFire_T5_Rel 
21:28:35.069  CMBT   | Killed xSterben	 Ship_Race2_M_T5_CraftSpec|0000137865;	 killer Feresey|0000091430 Module_GreenInvulnerability_T5_Epic 
21:28:44.990  CMBT   | Killed Rentd	 Ship_Race1_M_T5_Dlc|0000141719;	 killer Py6Jl|0000001985 Weapon_ThorHammer_T5_Epic 
21:28:47.008  CMBT   | Killed ClanShip_SideTurret_t5|0000000723;	 killer Sumelru|0000003049 SpaceMissile_Torpedo_T4_Mk3 
21:28:47.572  CMBT   | Killed Module_SwarmControl_T5_Epic(Gladiator)|0000002091;	 killer npoctoMyzhuk|0000155394 Weapon_Plasmagun_Heavy_T5_Pirate 
21:28:47.795  CMBT   | Killed DistStation(MaxVerzila)|0000155643;	 killer MaxVerzila|0000155643 (suicide) <FriendlyFire>
21:28:47.800  CMBT   | Killed MaxVerzila	 Ship_Race1_L_T5_CraftSpec|0000099740;	 killer Jigolee|0000003938 Weapon_Cold_Ray_T5_Rel 
21:28:50.268  CMBT   | Killed ClanShip_Stuff_Emp_ElementD|0000000625;	 killer Sumelru|0000003049 SpaceMissile_Torpedo_T4_Mk3 
21:28:50.268  CMBT   | Killed ClanShip_Stuff_Emp_ElementD|0000000628;	 killer Sumelru|0000003049 SpaceMissile_Torpedo_T4_Mk3 
21:28:54.783  CMBT   | Killed ClanShip_SideTurret|0000000524;	 killer Gladiator|0000002075 Module_Swarm3 
21:32:15.919  CMBT   | Killed ClanShip_Stuff_Jer_ElementA|0000000588;	 killer ClanShip_MainTurret_Empire|0000000270 ClanShip_MainTurret_Empire 
21:32:23.158  CMBT   | Killed Ship_Bot_ClanShipDroneBig_Empire|0000001813;	 killer ClanShip_MainTurret|0000000284 ClanShip_MainTurret 
21:32:23.158  CMBT   | Killed Ship_Bot_ClanShipDroneBig_Empire|0000001833;	 killer ClanShip_MainTurret|0000000284 ClanShip_MainTurret 
21:32:35.351  CMBT   | Killed ClanShip_Stuff_Emp_ElementI|0000000496;	 killer ClanShip_MainTurret|0000000282 ClanShip_MainTurret 
21:32:43.480  CMBT   | Killed Ship_Bot_ClanShipDroneBig_Jericho|0000001796;	 killer Feresey|0000001921 Weapon_Plasmagun_Heavy_T5_Pirate 
21:32:46.571  CMBT   | Killed Ship_Bot_ClanShipDroneBig_Jericho|0000001779;	 killer Gladiator|0000002009 Weapon_PlasmaBursts_T5_Rel 
21:32:54.093  CMBT   | Killed SpyBeaconAnalyse(THEMAJKI)|0000009934;	 killer ClanShip_SideTurret_t5|0000000741 ClanShip_SideTurret_t5 
21:32:55.106  CMBT   | Killed THEMAJKI	 Ship_Race1_S_T5_Nordstorm|0000003294;	 killer Jigolee|0000005445 Weapon_Cold_Ray_T5_Rel 
21:33:06.481  CMBT   | Killed ClanShip_SideTurret_t5|0000000684;	 killer TENEVOY|0000002760 Module_Disintegrator_T4_Base 
21:33:10.639  CMBT   | Killed ClanShip_SideRocketTurret_t5|0000000713;	 killer n/a|-000000001 ClanShip_SideRocketTurret_t5 
21:33:13.669  CMBT   | Killed ClanShip_Torpedo|0000014473;	 killer Aleks691|0000003060 Module_Disintegrator_T4_Base 
21:33:14.447  CMBT   | Killed ClanShip_Torpedo|0000014477;	 killer TENEVOY|0000002760 Module_Disintegrator_T4_Base 
21:33:14.789  CMBT   | Killed ClanShip_Stuff_Jer_ElementD|0000000640;	 killer TENEVOY|0000002760 SpaceMissile_Torpedo_T4_Mk3 
21:33:14.789  CMBT   | Killed ClanShip_Stuff_Jer_ElementB|0000000601;	 killer TENEVOY|0000002760 SpaceMissile_Torpedo_T4_Mk3 
21:33:14.789  CMBT   | Killed ClanShip_Stuff_Jer_ElementB|0000000599;	 killer TENEVOY|0000002760 SpaceMissile_Torpedo_T4_Mk3 
21:33:14.789  CMBT   | Killed ClanShip_Stuff_Jer_ElementB|0000000600;	 killer TENEVOY|0000002760 SpaceMissile_Torpedo_T4_Mk3 
21:33:14.789  CMBT   | Killed ClanShip_Stuff_Jer_ElementA|0000000589;	 killer TENEVOY|0000002760 SpaceMissile_Torpedo_T4_Mk3 
21:33:14.789  CMBT   | Killed ClanShip_Stuff_Jer_ElementB|0000000598;	 killer TENEVOY|0000002760 SpaceMissile_Torpedo_T4_Mk3 
21:33:16.878  CMBT   | Killed ClanShip_Torpedo|0000014475;	 killer Aleks691|0000003060 Module_Disintegrator_T4_Base 
21:33:17.773  CMBT   | Killed ClanShip_Torpedo|0000014479;	 killer TENEVOY|0000002760 Module_Disintegrator_T4_Base 
21:33:21.303  CMBT   | Killed Drone_DestrBeamDrone_T5_Epic(Omega33cz)|0000016220;	 killer TENEVOY|0000002760 Module_Disintegrator_T4_Base 
21:33:22.041  CMBT   | Killed kosogiri	 Ship_Race1_S_T5_Bootlegger|0000002602;	 killer Jigolee|0000005445 Weapon_Cold_Ray_T5_Rel 
21:33:24.676  CMBT   | Killed krivoendkoco	 Ship_Race1_S_T5_Bootlegger|0000002994;	 killer PomogitePsixy|0000002204 Weapon_Hammer_T5_Epic 
21:33:27.926  CMBT   | Killed jacen200146CZ	 Ship_Race2_S_T5_CraftUniq|0000002514;	 killer Nafalar|0000003346 Weapon_Plasmagun_Heavy_T5_Pirate 
21:33:35.899  CMBT   | Killed ClanShip_FlakGun|0000000520;	 killer Aleks691|0000003060 SpaceMissile_Torpedo_T4_Mk3 
21:33:35.899  CMBT   | Killed ClanShip_FlakGun|0000000529;	 killer Aleks691|0000003060 SpaceMissile_Torpedo_T4_Mk3 
21:33:36.636  CMBT   | Killed ClanShip_ThermalRocketTurret_t5|0000000672;	 killer Gladiator|0000002009 Module_DevastatorGun_T5_Epic 
21:33:37.986  CMBT   | Killed Module_BFG_T5_Epic(Sotir)|0000002724;	 killer Nafalar|0000003346 Weapon_Plasmagun_Heavy_T5_Pirate 
21:33:38.751  CMBT   | Killed SwarmPack3(Sotir)|0000002820;	 killer Sotir|0000002820 (suicide) <FriendlyFire>
21:33:38.755  CMBT   | Killed Sotir	 Ship_Race5_H_OVERSEER_Rank15_13|0000002710;	 killer PomogitePsixy|0000002204 Weapon_Hammer_T5_Epic 
21:33:40.930  CMBT   | Killed ClanShip_SideRocketTurret_t5|0000000704;	 killer n/a|-000000001 ClanShip_SideRocketTurret_t5 
21:33:41.904  CMBT   | Killed Ship_Bot_ClanShipDroneBig_Jericho|0000015785;	 killer ClanShip_SideTurret_t5|0000000735 ClanShip_SideTurret_t5 
21:33:43.464  CMBT   | Killed ClanShip_SideTurret|0000000622;	 killer Gladiator|0000002009 Weapon_PlasmaBursts_T5_Rel 
21:33:43.905  CMBT   | Killed ClanShip_SideTurret_t5|0000000690;	 killer TENEVOY|0000002760 Module_Disintegrator_T4_Base 
21:33:45.818  CMBT   | Killed Ship_Bot_ClanShipDroneBig_Jericho|0000015768;	 killer ClanShip_SideTurret_t5|0000000753 ClanShip_SideTurret_t5 
21:33:50.649  CMBT   | Killed Ship_Bot_ClanShipDroneBig_Empire|0000015802;	 killer ClanShip_ThermalRocketTurret_t5|0000000681 ClanShip_ThermalRocketTurret_t5 
21:33:58.953  CMBT   | Killed Module_PushRay_T5_Epic(Omega33cz)|0000002285;	 killer Feresey|0000001921 Weapon_Plasmagun_Heavy_T5_Pirate 
21:33:58.954  CMBT   | Killed Module_DestrBeamDrone_T5_Epic(Omega33cz)|0000002283;	 killer Feresey|0000001921 Weapon_Plasmagun_Heavy_T5_Pirate 
21:33:59.853  CMBT   | Killed Drone_DestrBeamDrone_T5_Epic(Omega33cz)|0000031212;	 killer Omega33cz|0000031212 (suicide) <FriendlyFire>
21:33:59.859  CMBT   | Killed Omega33cz	 Ship_Race2_H_T5_Relic|0000002256;	 killer Nafalar|0000003346 SpaceMissile_Barrage_T5_Mk3 
21:34:00.413  CMBT   | Killed ClanShip_SideTurret_t5|0000000696;	 killer Jigolee|0000005445 Weapon_Cold_Ray_T5_Rel 
21:34:01.985  CMBT   | Killed ClanShip_SideRocketTurret_t5|0000000707;	 killer Gladiator|0000002009 Module_Javelin_T5_Epic 
21:34:05.737  CMBT   | Killed Module_DevastatorGun_T5_Epic(THEMAJKI)|0000019067;	 killer PomogitePsixy|0000002204 Weapon_Hammer_T5_Epic 
21:34:07.037  CMBT   | Killed SwarmPack3(THEMAJKI)|0000019201;	 killer THEMAJKI|0000019201 (suicide) <FriendlyFire>
21:34:07.038  CMBT   | Killed THEMAJKI	 Ship_Race5_H_OVERSEER_Rank15_13|0000019053;	 killer PomogitePsixy|0000002204 Weapon_Hammer_T5_Epic 
21:34:08.430  CMBT   | Killed Aleks691	 Ship_Race1_L_T4_Faction2|0000003060;	 killer TENEVOY|0000002760 Module_Disintegrator_T4_Base 
21:34:09.105  CMBT   | Killed Expendable_BattleDroneLarge_T5_Mk3(Rule34)|0000005789;	 killer ClanShip_SideTurret|0000000579 ClanShip_SideTurret 
21:34:10.519  CMBT   | Killed ClanShip_SideTurret|0000000624;	 killer Gladiator|0000002009 Module_DevastatorGun_T5_Epic 
21:34:11.308  CMBT   | Killed Feresey	 Ship_Race5_M_ATTACK_Rank15|0000001921;	 killer jacen200146CZ|0000030541 (crash) 
21:34:15.055  CMBT   | Killed ClanShip_SideTurret|0000000579;	 killer Rule34|0000001887 Weapon_ShieldHeal_T5_Epic 
21:34:18.599  CMBT   | Killed ClanShip_SideTurret_t5|0000000686;	 killer Gladiator|0000002009 Weapon_PlasmaBursts_T5_Rel 
21:34:18.714  CMBT   | Killed ClanShip_SideTurret|0000000577;	 killer Rule34|0000001887 Weapon_ShieldHeal_T5_Epic 
21:34:19.836  CMBT   | Killed ClanShip_Torpedo|0000036602;	 killer TENEVOY|0000002760 Module_Disintegrator_T4_Base 
21:34:21.008  CMBT   | Killed krivoendkoco	 Ship_Race5_M_ATTACK_Rank15_13|0000029616;	 killer Py6Jl|0000002134 Weapon_ThorHammer_T5_Epic 
21:34:21.293  CMBT   | Killed ClanShip_Stuff_Jer_ElementB|0000000616;	 killer ClanShip_MainTurret_Empire|0000000270 ClanShip_MainTurret_Empire 
21:34:22.913  CMBT   | Killed ClanShip_SideTurret_t5|0000000698;	 killer Gladiator|0000002009 Module_Javelin_T5_Epic 
21:34:23.248  CMBT   | Killed Ship_Bot_ClanShipDroneBig_Empire|0000033599;	 killer ClanShip_ThermalRocketTurret_t5|0000000681 ClanShip_ThermalRocketTurret_t5 
21:34:23.248  CMBT   | Killed ClanShip_Torpedo|0000036604;	 killer TENEVOY|0000002760 Module_Disintegrator_T4_Base 
21:34:26.343  CMBT   | Killed ClanShip_ThermalRocketTurret_t5|0000000675;	 killer Gladiator|0000002009 Weapon_PlasmaBursts_T5_Rel 
21:34:29.596  CMBT   | Killed Ship_Bot_ClanShipDroneBig_Jericho|0000033562;	 killer ClanShip_SideTurret_t5|0000000735 ClanShip_SideTurret_t5 
21:34:40.059  CMBT   | Killed Ship_Bot_ClanShipDroneBig_Jericho|0000033541;	 killer ClanShip_SideTurret_t5|0000000753 ClanShip_SideTurret_t5 
21:34:43.982  CMBT   | Killed Aleks691	 Ship_Race2_M_T5_Baphomet|0000040487;	 killer Py6Jl|0000002134 Weapon_ThorHammer_T5_Epic 
21:34:46.233  CMBT   | Killed Ship_Bot_ClanShipDroneBig_Jericho|0000044187;	 killer ClanShip_MainTurret_Empire|0000000272 ClanShip_MainTurret_Empire 
21:34:47.240  CMBT   | Killed jacen200146CZ	 Ship_Race2_S_T5_CraftUniq|0000030541;	 killer Gladiator|0000002009 Module_BFG_T5_Epic 
21:34:47.464  CMBT   | Killed ClanShip_Stuff_Jer_ElementF|0000000649;	 killer TENEVOY|0000002760 SpaceMissile_Torpedo_T4_Mk3 
21:34:47.464  CMBT   | Killed ClanShip_Stuff_Jer_ElementF|0000000652;	 killer TENEVOY|0000002760 SpaceMissile_Torpedo_T4_Mk3 
21:34:47.465  CMBT   | Killed ClanShip_Stuff_Jer_ElementD|0000000638;	 killer TENEVOY|0000002760 SpaceMissile_Torpedo_T4_Mk3 
21:34:47.465  CMBT   | Killed ClanShip_Stuff_Jer_ElementC|0000000618;	 killer TENEVOY|0000002760 SpaceMissile_Torpedo_T4_Mk3 
21:34:47.465  CMBT   | Killed ClanShip_Stuff_Jer_ElementC|0000000619;	 killer TENEVOY|0000002760 SpaceMissile_Torpedo_T4_Mk3 
21:34:47.465  CMBT   | Killed ClanShip_Stuff_Jer_ElementD|0000000636;	 killer TENEVOY|0000002760 SpaceMissile_Torpedo_T4_Mk3 
21:34:54.375  CMBT   | Killed Ship_Bot_ClanShipDroneBig_Empire|0000033579;	 killer ClanShip_ThermalRocketTurret_t5|0000000681 ClanShip_ThermalRocketTurret_t5 
21:34:59.810  CMBT   | Killed MacMel	 Ship_Race1_S_T5_Bootlegger|0000002341;	 killer Feresey|0000040763 Weapon_ThorHammer_T5_Epic 
21:35:00.769  CMBT   | Killed ClanShip_Stuff_Emp_SGen|0000000556;	 killer Nafalar|0000003346 Weapon_Plasmagun_Heavy_T5_Pirate 
21:35:04.416  CMBT   | Killed Ship_Bot_ClanShipDroneBig_Empire|0000015822;	 killer ClanShip_ThermalRocketTurret_t5|0000000681 ClanShip_ThermalRocketTurret_t5 
21:35:05.492  CMBT   | Killed Ship_Bot_ClanShipDroneBig_Jericho|0000044230;	 killer TENEVOY|0000002760 Module_Disintegrator_T4_Base 
21:35:06.951  CMBT   | Killed Projectile_GreenTurretDrone_15(Sotir)|0000052412;	 killer Jigolee|0000005445 Weapon_Cold_Ray_T5_Rel 
21:35:15.373  CMBT   | Killed Ship_Bot_ClanShipDroneBig_Jericho|0000044155;	 killer TENEVOY|0000002760 ClanShip_SideTurret_t5 
21:35:15.601  CMBT   | Killed Ship_Bot_ClanShipDroneBig_Jericho|0000044655;	 killer TENEVOY|0000002760 Module_Disintegrator_T4_Base 
21:35:16.045  CMBT   | Killed Ship_Bot_ClanShipDroneBig_Empire|0000044120;	 killer ClanShip_SideRocketTurret_t5|0000000710 ClanShip_SideRocketTurret_t5 
21:35:18.959  CMBT   | Killed Ship_Bot_ClanShipDroneBig_Jericho|0000044273;	 killer TENEVOY|0000002760 Module_Disintegrator_T4_Base 
21:35:19.459  CMBT   | Killed Sotir	 Ship_Race5_L_ENGINEER_Rank15_11|0000048883;	 killer Py6Jl|0000002134 Weapon_ThorHammer_T5_Epic 
21:35:19.635  CMBT   | Killed krivoendkoco	 Ship_Race3_L_T5_Mole|0000052650;	 killer Jigolee|0000005445 Weapon_Cold_Ray_T5_Rel 
21:35:19.859  CMBT   | Killed Ship_Bot_ClanShipDroneBig_Empire|0000044099;	 killer ClanShip_ThermalRocketTurret_t5|0000000681 ClanShip_ThermalRocketTurret_t5 
21:35:22.595  CMBT   | Killed Ship_Bot_ClanShipDroneBig_Empire|0000044079;	 killer ClanShip_SideRocketTurret_t5|0000000710 ClanShip_SideRocketTurret_t5 
21:35:24.678  CMBT   | Killed ClanShip_Stuff_Emp_ElementI|0000000498;	 killer MacMel|0000055196 Module_DisintegratorPhasedEfficiency 
21:35:25.174  CMBT   | Killed ClanShip_Torpedo|0000058390;	 killer TENEVOY|0000002760 Module_Disintegrator_T4_Base 
21:35:25.177  CMBT   | Killed ClanShip_Stuff_Jer_ElementA1|0000000591;	 killer Rule34|0000001887 ClanShip_MainTurret_Empire 
21:35:27.600  CMBT   | Killed Aleks691	 Ship_Race2_M_T5_Baphomet|0000055650;	 killer Gladiator|0000002009 Module_Javelin_T5_Epic 
21:35:28.383  CMBT   | Killed ClanShip_Torpedo|0000058388;	 killer TENEVOY|0000002760 Module_Disintegrator_T4_Base 
21:35:29.498  CMBT   | Killed Drone_DestrBeamDrone_T5_Epic(Omega33cz)|0000060462;	 killer Rule34|0000001887 Weapon_ShieldHeal_T5_Epic 
21:35:34.548  CMBT   | Killed DistStation(Rule34)|0000059839;	 killer Omega33cz|0000055955 Module_RocketMine_T5_Epic 
21:35:35.383  CMBT   | Killed Omega33cz	 Ship_Race2_H_T5_Relic|0000055955;	 killer Gladiator|0000002009 Module_RocketMine_T5_Epic 
21:35:42.406  CMBT   | Killed ClanShip_SideTurret_t5|0000000702;	 killer TENEVOY|0000002760 Module_Disintegrator_T4_Base 
21:35:53.514  CMBT   | Killed ClanShip_Stuff_Jer_ElementA1|0000000593;	 killer TENEVOY|0000002760 Module_Disintegrator_T4_Base 
21:35:56.206  CMBT   | Killed ClanShip_Stuff_Jer_ElementB|0000000609;	 killer TENEVOY|0000002760 SpaceMissile_Torpedo_T4_Mk3 
21:35:56.206  CMBT   | Killed ClanShip_Stuff_Jer_ElementB|0000000606;	 killer TENEVOY|0000002760 SpaceMissile_Torpedo_T4_Mk3 
